songNumber,country,artist,title
1,"Malta","Michela","Chameleon"
2,"Albania","Jonida Maliqi","Ktheju tokës"
3,"Czech Republic","Lake Malawi","Friend of a Friend"
4,"Germany","S!sters","Sister"
5,"Russia","Sergey Lazarev","Scream"
6,"Denmark","Leonora","Love Is Forever"
7,"San Marino","Serhat","Say Na Na Na"
8,"North Macedonia","Tamara Todevska","Proud"
9,"Sweden","John Lundvik","Too Late for Love"
10,"Slovenia","Zala Kralj & Gašper Šantl","Sebi"
11,"Cyprus","Tamta","Replay"
12,"Netherlands","Duncan Laurence","Arcade"
13,"Greece","Katerine Duska","Better Love"
14,"Israel","Kobi Marimi","Home"
15,"Norway","KEiiNO","Spirit in the Sky"
16,"United Kingdom","Michael Rice","Bigger than Us"
17,"Iceland","Hatari","Hatrið mun sigra"
18,"Estonia","Victor Crone","Storm"
19,"Belarus","ZENA","Like It"
20,"Azerbaijan","Chingiz","Truth"
21,"France","Bilal Hassani","Roi"
22,"Italy","Mahmood","Soldi"
23,"Serbia","Nevena Božović","Kruna (Круна)"
24,"Switzerland","Luca Hänni","She Got Me"
25,"Australia","Kate Miller-Heidke","Zero Gravity"
26,"Spain","Miki","La Venda"
